,value,percentage,cod_ccaa,ccaa,month,year
25,3016830.479,1,4,Andalucía,2,2021
26,3214203.583,1,4,Andalucía,3,2021
27,2944784.896,1,4,Andalucía,4,2021
28,3088142.326,1,4,Andalucía,5,2021
29,3166035.944,1,4,Andalucía,6,2021
30,3688723.186,1,4,Andalucía,7,2021
31,3781782.817,1,4,Andalucía,8,2021
32,3261936.787,1,4,Andalucía,9,2021
33,3062789.782,1,4,Andalucía,10,2021
34,3180304.564,1,4,Andalucía,11,2021
35,3441074.577,1,4,Andalucía,12,2021
36,957420.099,1,5,Aragón,1,2019
37,859577.223,1,5,Aragón,2,2019
38,931375.419,1,5,Aragón,3,2019
39,861851.879,1,5,Aragón,4,2019
40,901078.329,1,5,Aragón,5,2019
41,887513.783,1,5,Aragón,6,2019
42,947768.672,1,5,Aragón,7,2019
43,918355.065,1,5,Aragón,8,2019
44,880277.404,1,5,Aragón,9,2019
45,883069.114,1,5,Aragón,10,2019
46,905361.295,1,5,Aragón,11,2019
47,875169.733,1,5,Aragón,12,2019
48,936969.954,1,5,Aragón,1,2020
49,847063.224,1,5,Aragón,2,2020
50,845670.025,1,5,Aragón,3,2020
51,715893.499,1,5,Aragón,4,2020
52,780472.526,1,5,Aragón,5,2020
53,800765.41,1,5,Aragón,6,2020
54,883086.548,1,5,Aragón,7,2020
55,884240.341,1,5,Aragón,8,2020
56,844042.251,1,5,Aragón,9,2020
57,848048.821,1,5,Aragón,10,2020
58,854810.773,1,5,Aragón,11,2020
59,873158.298,1,5,Aragón,12,2020
60,899098.143,1,5,Aragón,1,2021
61,806734.845,1,5,Aragón,2,2021
62,901481.249,1,5,Aragón,3,2021
63,835504.911,1,5,Aragón,4,2021
64,854555.031,1,5,Aragón,5,2021
65,881086.419,1,5,Aragón,6,2021
66,914403.06,1,5,Aragón,7,2021
67,890945.768,1,5,Aragón,8,2021
68,857223.626,1,5,Aragón,9,2021
69,842280.712,1,5,Aragón,10,2021
70,884111.867,1,5,Aragón,11,2021
71,895918.585,1,5,Aragón,12,2021
72,755349.344,1,8742,Canarias,1,2019
73,678572.401,1,8742,Canarias,2,2019
74,738613.341,1,8742,Canarias,3,2019
75,701144.535,1,8742,Canarias,4,2019
76,724435.551,1,8742,Canarias,5,2019
77,714689.013,1,8742,Canarias,6,2019
78,765155.245,1,8742,Canarias,7,2019
79,788634.096,1,8742,Canarias,8,2019
80,752661.657,1,8742,Canarias,9,2019
81,773780.358,1,8742,Canarias,10,2019
82,734424.275,1,8742,Canarias,11,2019
83,747518.318,1,8742,Canarias,12,2019
84,756953.464,1,8742,Canarias,1,2020
85,705861.132,1,8742,Canarias,2,2020
86,682194.297,1,8742,Canarias,3,2020
87,548481.932,1,8742,Canarias,4,2020
88,581117.603,1,8742,Canarias,5,2020
89,602698.837,1,8742,Canarias,6,2020
90,679184.288,1,8742,Canarias,7,2020
91,712516.545,1,8742,Canarias,8,2020
92,684875.592,1,8742,Canarias,9,2020
93,674860.239,1,8742,Canarias,10,2020
94,652336.766,1,8742,Canarias,11,2020
95,665587.715,1,8742,Canarias,12,2020
96,648143.584,1,8742,Canarias,1,2021
97,576433.134,1,8742,Canarias,2,2021
98,640601.157,1,8742,Canarias,3,2021
99,615594.768,1,8742,Canarias,4,2021
100,638221.977,1,8742,Canarias,5,2021
101,637990.222,1,8742,Canarias,6,2021
102,702057.86,1,8742,Canarias,7,2021
103,728446.23,1,8742,Canarias,8,2021
104,724325.74,1,8742,Canarias,9,2021
105,734306.806,1,8742,Canarias,10,2021
106,703556.805,1,8742,Canarias,11,2021
107,719893.229,1,8742,Canarias,12,2021
108,376344.812,1,6,Cantabria,1,2019
109,335609.363,1,6,Cantabria,2,2019
110,363081.312,1,6,Cantabria,3,2019
111,358214.104,1,6,Cantabria,4,2019
112,358357.706,1,6,Cantabria,5,2019
113,334031.262,1,6,Cantabria,6,2019
114,349591.357,1,6,Cantabria,7,2019
115,344327.486,1,6,Cantabria,8,2019
116,341052.811,1,6,Cantabria,9,2019
117,347289.235,1,6,Cantabria,10,2019
118,356017.986,1,6,Cantabria,11,2019
119,324383.453,1,6,Cantabria,12,2019
120,341784.053,1,6,Cantabria,1,2020
121,330739.792,1,6,Cantabria,2,2020
122,356180.394,1,6,Cantabria,3,2020
123,287372.937,1,6,Cantabria,4,2020
124,314378.961,1,6,Cantabria,5,2020
125,280657.543,1,6,Cantabria,6,2020
126,319142.121,1,6,Cantabria,7,2020
127,340134.022,1,6,Cantabria,8,2020
128,333667.089,1,6,Cantabria,9,2020
129,351119.216,1,6,Cantabria,10,2020
130,344154.085,1,6,Cantabria,11,2020
131,306515.675,1,6,Cantabria,12,2020
132,301323.586,1,6,Cantabria,1,2021
133,312051.981,1,6,Cantabria,2,2021
134,354118.186,1,6,Cantabria,3,2021
135,334415.536,1,6,Cantabria,4,2021
136,354486.889,1,6,Cantabria,5,2021
137,350482.439,1,6,Cantabria,6,2021
